id_Articulo,id_Almacen,id_Entrada,id_Proveedor,id_Time,NumDeEntradas,CantidadArticulos
4512,7,283,88,20120520,1,10
4577,7,285,109,20170211,1,150
4505,7,286,88,20130704,0,3
4361,7,286,88,20130704,0,10
4364,7,286,88,20130704,0,3
4506,7,286,88,20130704,0,2
4311,7,286,88,20130704,0,4
4262,7,286,88,20130704,0,2
4359,7,286,88,20130704,0,2
4362,7,286,88,20130704,0,2
4383,7,286,88,20130704,0,2
4368,7,286,88,20130704,0,2
3911,7,286,88,20130704,0,10
3921,7,286,88,20130704,0,4
4183,7,286,88,20130704,0,4
4236,7,287,88,20130222,1,10
4194,7,287,88,20130222,1,5
4607,7,288,97,20130221,1,200
3929,7,289,109,20150330,1,34
4137,7,289,109,20150330,1,10
4511,7,291,109,20090507,1,7
4577,7,292,90,20130811,1,1002
4511,7,293,88,20110807,0,5
4361,7,293,88,20110807,0,5
4315,7,293,88,20110807,0,10
4649,7,293,88,20110807,0,4
4194,7,294,88,20140302,1,10
3929,7,295,109,20090605,1,10
4137,7,295,109,20090605,1,20
4551,7,296,91,20181214,0,24
4553,7,296,91,20181214,0,12
4558,7,296,91,20181214,0,5
4555,7,296,91,20181214,0,48
4505,7,297,88,20151029,0,3
4511,7,297,88,20151029,0,10
4124,7,297,88,20151029,0,2
4182,7,297,88,20151029,0,2
4424,7,297,88,20151029,0,2
4531,7,297,88,20151029,0,2
4525,7,297,88,20151029,0,2
4521,7,297,88,20151029,0,2
4147,7,297,88,20151029,0,10
4560,7,352,91,20120326,0,10
4570,7,352,91,20120326,0,5
4681,7,352,91,20120326,0,5
4567,7,352,91,20120326,0,27
4634,7,354,109,20110611,1,12
4701,7,356,109,20130814,1,30
4645,7,358,109,20090104,1,2
4245,7,359,88,20090630,1,3
4530,7,360,88,20091013,0,2
4528,7,360,88,20091013,0,5
4361,7,360,88,20091013,0,6
4373,7,360,88,20091013,0,1
4382,7,360,88,20091013,0,2
3905,7,360,88,20091013,0,2
4506,7,360,88,20091013,0,6
4312,7,360,88,20091013,0,10
4147,7,360,88,20091013,0,10
4657,7,360,88,20091013,0,4
4511,7,361,88,20190520,0,3
4310,7,361,88,20190520,0,3
4524,7,361,88,20190520,0,10
4362,7,361,88,20190520,0,4
4365,7,361,88,20190520,0,6
4368,7,361,88,20190520,0,4
4236,7,362,88,20090515,0,3
4194,7,362,88,20090515,0,6
4237,7,362,88,20090515,0,4
4238,7,362,88,20090515,0,10
4196,7,362,88,20090515,0,10
4645,7,363,98,20170112,1,40
4361,7,364,88,20090211,0,10
4117,7,364,88,20090211,0,4
4649,7,364,88,20090211,0,4
4531,7,365,88,20170114,1,6
4672,7,366,95,20140525,1,2
4310,7,367,88,20161024,0,10
4516,7,367,88,20161024,0,2
4506,7,367,88,20161024,0,4
4194,7,368,88,20090619,1,6
4505,7,369,88,20090614,1,20
4524,7,370,88,20100215,0,2
4526,7,370,88,20100215,0,20
3931,7,370,88,20100215,0,10
4648,7,370,88,20100215,0,4
4654,7,370,88,20100215,0,4
4384,7,370,88,20100215,0,10
4244,7,371,88,20090807,1,10
4236,7,372,88,20120915,1,5
4233,7,372,88,20120915,1,15
4577,7,373,90,20171119,1,1188
4236,8,374,88,20150223,1,15
4194,8,374,88,20150223,1,15
4411,7,375,88,20170421,0,3
4364,7,375,88,20170421,0,2
4367,7,375,88,20170421,0,2
3905,7,375,88,20170421,0,2
4506,7,375,88,20170421,0,4
4262,7,375,88,20170421,0,2
4365,7,375,88,20170421,0,4
4368,7,375,88,20170421,0,4
4507,7,375,88,20170421,0,10
3979,7,375,88,20170421,0,10
4310,7,376,88,20120919,1,10
4494,7,377,88,20100816,1,1
4074,7,378,88,20101111,1,6
4654,7,378,88,20101111,1,4
4558,7,379,91,20090326,0,24
4681,7,379,91,20090326,0,10
4553,7,379,91,20090326,0,24
4555,7,379,91,20090326,0,24
4638,7,379,91,20090326,0,12
4576,7,380,91,20100325,1,30
4577,7,381,90,20191215,1,450
4310,7,382,88,20190212,0,15
4116,7,382,88,20190212,0,2
4361,7,382,88,20190212,0,6
4524,7,383,88,20190711,1,15
4361,7,383,88,20190711,1,15
4524,7,384,88,20150107,1,30
4240,7,384,88,20150107,1,6
4383,7,385,88,20160525,1,6
4195,7,386,109,20160108,1,20
4411,7,387,88,20171119,0,7
4506,7,387,88,20171119,0,4
4359,7,387,88,20171119,0,2
4533,7,387,88,20171119,0,10
3926,7,387,88,20171119,0,4
4369,7,387,88,20171119,0,10
4194,7,388,88,20120229,1,6
4195,7,388,88,20120229,1,6
4569,7,389,109,20110726,1,2
4194,7,390,109,20140418,1,15
4236,7,390,109,20140418,1,15
4565,7,391,95,20160322,0,36
4566,7,391,95,20160322,0,36
4563,7,391,95,20160322,0,32
4505,7,392,88,20190228,0,3
4524,7,392,88,20190228,0,3
4383,7,392,88,20190228,0,4
3886,7,392,88,20190228,0,10
4236,7,393,88,20110121,1,6
4195,7,393,88,20110121,1,6
3929,7,394,88,20100908,1,20
4524,7,395,88,20191028,0,3
4528,7,395,88,20191028,0,3
3930,7,395,88,20191028,0,4
4512,7,395,88,20191028,0,4
4533,7,395,88,20191028,0,10
4384,7,395,88,20191028,0,10
4695,7,396,109,20131009,1,8
4611,7,397,96,20150709,0,6
4621,7,397,96,20150709,0,18
4628,7,397,96,20150709,0,12
4620,7,397,96,20150709,0,6
4614,7,397,96,20150709,0,6
4579,7,398,94,20100103,1,25
4561,7,399,95,20171129,1,25
4601,7,400,92,20100401,0,24
4582,7,400,92,20100401,0,50
4583,7,400,92,20100401,0,100
4569,7,401,91,20120717,0,10
4696,7,401,91,20120717,0,10
4559,7,401,91,20120717,0,5
4423,7,402,88,20190204,0,2
4530,7,402,88,20190204,0,2
4524,7,402,88,20190204,0,5
4526,7,402,88,20190204,0,6
4528,7,402,88,20190204,0,6
4311,7,402,88,20190204,0,4
4158,7,402,88,20190204,0,2
4075,7,402,88,20190204,0,10
4171,7,402,88,20190204,0,10
4175,7,402,88,20190204,0,10
3937,7,402,88,20190204,0,10
4194,7,403,88,20171103,1,6
4195,7,403,88,20171103,1,6
4511,7,404,88,20120320,0,6
4137,7,404,88,20120320,0,6
3936,7,404,88,20120320,0,10
4647,7,404,88,20120320,0,4
4649,7,404,88,20120320,0,4
4654,7,404,88,20120320,0,4
4607,7,405,97,20101221,1,180
4564,7,406,109,20180205,1,25
4512,7,407,88,20140124,0,4
4154,7,407,88,20140124,0,2
4362,7,407,88,20140124,0,4
4507,7,407,88,20140124,0,10
